Date,Open,High,Low,Close,Volume
2004-01-01,703.19,703.19,695.41,695.47,0
2004-01-02,694.87,703.65,694.15,702.09,0
2004-01-05,702.09,702.47,693.08,694.31,0
2004-01-06,694.32,701.7,690.41,700.92,0
2004-01-07,700.53,701.7,690.81,693.84,0
2004-01-08,693.98,697.46,684.08,691.03,0
2004-01-09,691.1,703.9,683.62,698.15,0
2004-01-12,698.01,699.79,685.92,690.74,0
2004-01-13,690.68,697.37,688.27,693.8,0
2004-01-14,694.12,699.75,682.03,689.65,0
2004-01-15,689.65,700.08,689.65,692.13,0
2004-01-16,692.19,699.31,689.18,696.94,0
2004-01-19,697.49,698.48,685.38,694.51,0
2004-01-20,694.74,695.68,686.47,689.33,0
2004-01-21,689.56,700.05,689.56,697.64,0
2004-01-22,697.62,703.48,692.73,701.77,0
2004-01-23,701.72,702.43,687.13,691.68,0
2004-01-26,699.93,699.98,688.05,691.98,0
2004-01-27,692.19,695.35,684.17,688.34,0
2004-01-28,688.34,694.12,683.47,692.53,0
2004-01-29,692.71,692.71,679.21,681.25,0
2004-01-30,681.25,692.51,676.34,685.65,0
2004-02-02,692.44,692.44,682.16,684.2,0
2004-02-03,690.18,692.57,681.64,691.04,0
2004-02-04,690.78,692.57,681.64,689.82,0
2004-02-05,690.18,691.06,680.93,683.53,0
2004-02-06,683.68,693.94,680.24,692.47,0
2004-02-09,694.28,694.92,683.92,684.67,0
2004-02-10,684.7,699.56,682.38,695.56,0
2004-02-11,695.39,696.98,684.76,696.08,0
2004-02-12,696.02,696.21,684.85,692.72,0
2004-02-13,692.68,693.15,683.62,692.21,0
2004-02-16,692.2,693.09,683.26,685.48,0
2004-02-17,685.46,692.4,682.97,690.99,0
2004-02-18,688.94,689.26,678.66,683.52,0
2004-02-19,683.2,692.8,680.54,681.3,0
2004-02-20,681.16,693.57,681.16,681.89,0
2004-02-23,691.84,698.42,687.38,695.93,0
2004-02-24,695.93,699.33,684.98,698.79,0
2004-02-25,698.76,698.92,683.39,683.81,0
2004-02-26,684.03,692.88,679.05,684.84,0
2004-02-27,684.84,691.94,682.73,691.94,0
2004-03-01,691.94,694.36,685.3,691.61,0
2004-03-02,689.71,692.41,667.72,680.22,0
2004-03-03,680.22,689.51,673.82,676.11,0
2004-03-04,676.05,685.94,672.98,675.32,0
2004-03-05,675.19,686.57,669.82,686.11,0
2004-03-08,686.6,687.39,677.2,678.97,0
2004-03-09,678.76,694.13,677.77,691.3,0
2004-03-10,678.76,694.13,671.09,676.5,0
2004-03-11,676.44,683.77,672.61,680.1,0
2004-03-12,680.1,693.59,679.66,689.29,0
2004-03-15,687.98,687.98,678.32,685.59,0
2004-03-16,685.66,688.4,678.27,688.17,0
2004-03-17,688.53,691.4,676.28,691.35,0
2004-03-18,691.35,692.79,677.28,686.64,0
