Date,Open,High,Low,Close,Volume
2004-03-05,870.76,895.22,867.49,893.54,0
2004-03-08,891.24,891.9,877.21,879.41,0
2004-03-09,879.44,897.59,879.28,895.93,0
2004-03-10,879.44,897.59,858.99,869.2,0
2004-03-11,869.12,872.37,847.39,853.98,0
2004-03-12,854.01,865.93,848.65,864.06,0
2004-03-15,862.84,865.49,847.02,861.82,0
2004-03-16,861.72,868.97,854.94,868.6,0
2004-03-17,868.92,870.23,848.61,869.55,0
2004-03-18,869.6,872.56,852.59,871.56,0
2004-03-19,871.71,876.74,853.89,876.74,0
2004-03-22,874.31,877.57,859.56,875.86,0
2004-03-23,875.75,877.04,863.72,876.13,0
2004-03-24,876.02,881.24,857.61,880.32,0
2004-03-25,880.1,880.75,844.57,877.36,0
2004-03-26,877.15,884.49,845.33,884.49,0
2004-03-29,882.75,886.13,849.37,882.43,0
2004-03-30,882.43,889.07,854.47,888.79,0
2004-03-31,888.9,894.25,861.22,892.69,0
2004-04-01,892.8,893.97,858.46,890.61,0
2004-04-02,890.42,908.85,841.03,908.85,0
2004-04-05,895.11,901.04,850.27,900.7,0
2004-04-06,900.81,903.36,855.36,901.69,0
2004-04-07,902.05,904.04,861.23,866.85,0
2004-04-08,866.68,867.26,855.41,864.29,0
2004-04-09,864.15,867.52,862.66,865.66,0
2004-04-12,864.1,872.52,864.1,870.0,0
2004-04-13,869.72,883.28,850.36,860.97,0
2004-04-14,860.78,861.24,836.43,851.22,0
2004-04-15,851.17,855.52,840.84,854.32,0
2004-04-16,854.38,866.35,845.71,863.73,0
2004-04-19,864.22,867.61,850.73,861.76,0
2004-04-20,854.38,862.27,831.76,849.58,0
2004-04-21,850.0,851.16,828.45,844.18,0
2004-04-22,844.33,853.8,830.02,851.12,0
2004-04-23,851.12,852.59,829.04,849.6,0
2004-04-26,848.73,850.31,833.55,837.9,0
2004-04-27,837.9,848.6,830.6,848.28,0
2004-04-28,848.54,848.54,826.05,826.4,0
2004-04-29,826.43,846.09,817.69,842.78,0
2004-04-30,842.68,848.0,835.92,838.38,0
2004-05-03,839.75,839.75,832.97,835.66,0
2004-05-04,835.66,857.68,831.47,854.78,0
2004-05-05,855.12,856.77,842.84,854.61,0
2004-05-06,854.63,855.64,840.3,842.89,0
2004-05-07,842.94,843.85,799.67,816.85,0
2004-05-10,815.69,820.58,809.74,819.04,0
2004-05-11,819.13,829.29,814.29,827.94,0
2004-05-12,828.09,831.07,811.61,815.25,0
2004-05-13,814.99,825.41,807.5,816.66,0
2004-05-14,816.66,821.21,798.04,820.59,0
2004-05-17,818.89,822.47,806.82,806.82,0
2004-05-18,806.82,815.42,801.09,813.46,0
2004-05-19,813.65,820.44,808.75,816.33,0
2004-05-20,816.31,820.85,813.22,817.41,0
2004-05-21,817.29,825.23,814.17,820.38,0
2004-05-24,820.99,823.72,809.07,821.88,0
2004-05-25,822.07,836.74,816.29,834.35,0
2004-05-26,834.44,837.33,823.52,834.65,0
2004-05-27,834.6,840.5,823.51,838.64,0
2004-05-28,839.2,841.37,822.07,831.23,0
2004-05-31,829.66,832.16,828.32,830.21,0
2004-06-01,830.04,832.18,816.68,820.16,0
2004-06-02,820.33,826.12,808.17,811.81,0
2004-06-03,811.86,814.41,798.26,801.86,0
2004-06-04,801.88,811.39,764.64,810.56,0
2004-06-07,808.89,818.95,806.79,816.94,0
2004-06-08,817.19,818.05,806.09,806.73,0
2004-06-09,806.82,807.05,794.11,796.52,0
2004-06-10,796.13,809.91,792.7,807.86,0
2004-06-11,808.0,809.38,794.63,807.24,0
2004-06-14,804.08,805.86,793.35,800.39,0
2004-06-15,800.21,813.0,785.62,809.0,0
2004-06-16,809.61,811.56,793.03,795.53,0
2004-06-17,795.76,799.38,787.92,791.62,0
2004-06-18,791.8,800.71,782.95,798.46,0
2004-06-21,797.84,799.68,788.19,797.64,0
2004-06-22,797.69,798.73,788.66,794.34,0
2004-06-23,794.3,802.09,791.76,796.6,0
2004-06-24,796.42,809.3,793.09,805.59,0
2004-06-25,806.14,810.06,796.44,801.09,0
2004-06-28,803.77,808.97,798.51,806.7,0
2004-06-29,806.68,807.54,788.01,795.1,0
2004-06-30,795.14,807.27,791.73,805.84,0
2004-07-01,805.38,814.48,800.38,814.24,0
2004-07-02,814.38,824.42,810.08,824.2,0
2004-07-05,820.02,824.75,814.21,822.05,0
2004-07-06,822.05,829.59,818.22,826.84,0
2004-07-07,827.1,833.82,818.59,832.05,0
2004-07-08,832.37,832.37,822.07,829.48,0
2004-07-09,829.51,832.06,822.14,828.98,0
2004-07-12,834.11,835.69,823.39,833.83,0
2004-07-13,834.0,835.59,822.91,832.34,0
2004-07-14,832.22,837.36,822.86,836.34,0
2004-07-15,836.49,842.01,836.36,838.29,0
2004-07-16,838.19,853.09,837.7,851.96,0
2004-07-19,841.22,850.36,840.67,848.21,0
2004-07-20,848.18,852.74,837.86,844.95,0
2004-07-21,844.98,845.7,824.81,829.1,0
2004-07-22,828.95,834.08,823.36,830.18,0
2004-07-23,830.3,832.06,821.02,827.5,0
2004-07-26,820.9,827.77,802.61,824.85,0
2004-07-27,825.43,831.39,811.82,814.1,0
2004-07-28,813.77,820.1,805.1,815.01,0
2004-07-29,814.93,818.16,809.24,816.44,0
2004-07-30,816.37,825.59,788.39,822.13,0
2004-08-02,817.22,822.37,811.39,817.77,0
2004-08-03,817.77,824.15,806.47,821.89,0
2004-08-04,822.03,822.51,812.13,820.72,0
2004-08-05,820.57,821.03,816.2,817.09,0
2004-08-06,816.93,831.28,810.94,822.1,0
2004-08-09,826.78,831.17,820.13,827.25,0
2004-08-10,827.03,828.43,819.74,822.3,0
2004-08-11,822.3,826.74,817.59,824.3,0
2004-08-12,824.3,831.27,820.06,826.97,0
2004-08-13,826.97,833.71,818.41,828.01,0
2004-08-16,827.83,833.51,827.83,831.41,0
2004-08-17,831.36,833.34,806.82,828.99,0
2004-08-18,828.94,829.57,820.76,828.1,0
2004-08-19,828.08,839.5,823.5,838.07,0
2004-08-20,837.83,838.17,830.5,833.72,0
2004-08-23,834.78,834.78,820.16,821.29,0
2004-08-24,821.15,822.59,808.04,813.29,0
2004-08-25,813.24,818.09,812.24,815.04,0
2004-08-26,815.18,816.57,806.69,811.08,0
2004-08-27,811.22,815.95,802.26,809.63,0
2004-08-30,808.75,809.31,797.78,805.74,0
2004-08-31,805.93,814.51,795.68,810.75,0
2004-09-01,810.89,811.93,802.2,806.54,0
2004-09-02,806.61,807.37,798.33,800.21,0
2004-09-03,800.37,802.87,787.57,796.24,0
